year,week,temp.avg,temp.min,temp.max,winddir,windspd,pressure,alert__count
2021,8,13.0,8.4,18.9,56.1,6.7,1027.3,1
2021,9,12.3,7.9,17.0,121.6,7.0,1024.6,2
2021,10,12.8,9.2,17.3,158.3,5.5,1016.0,3
2021,11,13.2,9.7,18.1,226.4,10.4,1009.2,2
2021,13,14.1,10.0,18.6,166.0,8.3,1019.3,6
2021,14,13.8,9.5,18.9,170.1,8.6,1017.3,1
2021,16,16.4,12.1,21.2,231.6,8.9,1017.1,1
2021,17,19.6,14.2,25.1,151.4,4.9,1014.1,2
2021,18,22.2,17.8,28.3,152.9,7.6,1013.9,1
2021,20,21.8,17.0,27.6,268.4,8.1,1013.4,46
2021,22,21.8,17.2,27.4,204.0,6.6,1017.3,1
2021,24,23.3,18.4,28.7,197.7,6.0,1013.4,1
2021,25,28.6,23.8,34.3,126.6,4.6,1012.8,3
2021,26,29.6,24.8,35.2,198.1,6.2,1011.3,23
2021,27,29.4,25.0,34.1,55.6,10.0,1011.7,7
2021,28,30.7,25.5,36.0,153.9,8.1,1008.0,7
2021,29,28.0,24.3,32.7,65.7,9.4,1010.7,11
2021,30,31.6,26.1,38.1,152.4,7.5,1011.9,11
2021,31,31.9,26.5,38.2,194.9,5.2,1010.1,794
2021,32,29.4,25.2,34.3,75.1,8.9,1015.2,89
2021,33,28.3,24.2,33.4,64.7,8.3,1011.6,77
2021,34,28.1,23.8,33.4,220.0,7.2,1010.1,6
2021,35,26.3,22.6,31.2,108.1,7.9,1013.6,5
2021,38,23.4,18.6,28.4,226.6,6.3,1016.8,7
2021,40,19.6,16.7,24.2,43.1,7.2,1018.3,3
2021,42,18.4,14.7,23.6,173.4,4.7,1022.8,3
2021,44,18.5,14.8,23.4,149.4,4.0,1017.5,4
2021,45,15.5,12.3,19.5,89.6,6.7,1021.8,1
2021,49,14.4,11.2,17.4,213.7,12.6,1009.3,1
2022,12,11.0,6.6,15.8,180.2,11.6,1024.0,14
2022,13,15.8,12.1,20.7,164.3,8.0,1014.3,3
2022,20,21.7,16.5,27.2,250.6,8.7,1017.1,1
2022,22,27.0,22.6,33.2,311.4,12.5,1012.9,2
2022,25,27.9,22.9,34.2,190.1,6.0,1011.5,5
2022,26,29.0,24.3,34.2,23.9,9.7,1013.2,3
2022,27,27.6,23.3,33.2,128.1,9.6,1010.6,18
2022,28,28.2,24.0,33.5,109.3,10.9,1013.9,6
2022,29,28.9,24.6,33.6,59.1,11.5,1014.6,66
2022,30,30.3,24.6,36.0,85.6,7.9,1009.5,7
2022,35,27.5,23.2,32.9,114.4,4.9,1012.4,1
2022,36,25.4,21.7,30.5,127.7,9.6,1015.5,3
2022,37,25.6,21.6,31.0,117.7,5.8,1010.7,3
2022,39,24.1,19.7,29.4,208.0,6.6,1013.0,1
2022,40,20.5,17.3,24.2,62.1,9.1,1019.4,3
